title,genres,mood
"Last Starfighter, The (1984)",Action|Adventure|Comedy|Sci-Fi,energetic
Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX,energetic
Before Sunset (2004),Drama|Romance,sad
King Arthur (2004),Action|Adventure|Drama|War,energetic
Anchorman: The Legend of Ron Burgundy (2004),Comedy,happy
"Cinderella Story, A (2004)",Comedy|Romance,happy
"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller,energetic
"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Crime|Drama,sad
Long Day's Journey Into Night (1962),Drama,sad
"Short Film About Killing, A (Krótki film o zabijaniu) (1988)",Crime|Drama,sad
"Bourne Supremacy, The (2004)",Action|Crime|Thriller,energetic
Catwoman (2004),Action|Crime|Fantasy,energetic
A Home at the End of the World (2004),Drama|Romance,sad
"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)",Crime|Horror|Mystery|Thriller,dark
Flash Gordon Conquers the Universe (1940),Action|Sci-Fi,energetic
"Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956)",Adventure|Drama,excited
"Miracle of Marcelino, The (Marcelino pan y vino) (1955)",Comedy|Drama,happy
Slaughterhouse-Five (1972),Comedy|Drama|Sci-Fi|War,happy
"Bachelor and the Bobby-Soxer, The (1947)",Comedy,happy
Mr. Blandings Builds His Dream House (1948),Comedy,happy
My Favorite Wife (1940),Comedy|Romance,happy
"New Adventures of Pippi Longstocking, The (1988)",Adventure|Children|Fantasy|Musical,excited
Night and Day (1946),Drama|Musical,sad
"Snake Pit, The (1948)",Drama,sad
"Super, The (1991)",Comedy,happy
"Leopard, The (Gattopardo, Il) (1963)",Drama|War,sad
"Day of the Locust, The (1975)",Drama,sad
To End All Wars (2001),Action|Drama|War,energetic
"Woman Is a Woman, A (femme est une femme, Une) (1961)",Comedy|Drama|Musical|Romance,happy
Biggles (1986),Adventure|Fantasy|Sci-Fi,excited
"Yesterday, Today and Tomorrow (Ieri, oggi, domani) (1963)",Comedy,happy
Unprecedented: The 2000 Presidential Election (2002),Documentary,calm
"Prime of Miss Jean Brodie, The (1969)",Drama,sad
My Voyage to Italy (Il mio viaggio in Italia) (1999),Documentary,calm
This Gun for Hire (1942),Crime|Film-Noir|Thriller,tense
Sherlock Holmes: Terror by Night (1946),Crime|Mystery|Thriller,tense
"Spy Who Came in from the Cold, The (1965)",Drama|Thriller,sad
Sherlock Holmes and the Secret Weapon (1942),Crime|Mystery|Thriller,tense
Sherlock Holmes: The Woman in Green (1945),Mystery,calm
Sherlock Holmes: Dressed to Kill (1946),Crime|Mystery,calm
"Manchurian Candidate, The (2004)",Thriller,tense
Thunderbirds (2004),Action|Adventure|Fantasy|Sci-Fi,energetic
"Village, The (2004)",Drama|Mystery|Thriller,sad
Garden State (2004),Comedy|Drama|Romance,happy
Musa the Warrior (Musa) (2001),Action|Adventure|Drama|War,energetic
"Funny Thing Happened on the Way to the Forum, A (1966)",Comedy|Musical,happy
Collateral (2004),Action|Crime|Drama|Thriller,energetic
Little Black Book (2004),Comedy|Romance,happy
Code 46 (2003),Romance|Sci-Fi,romantic
"Story of Women (Affaire de femmes, Une) (1988)",Drama,sad
Harold and Kumar Go to White Castle (2004),Adventure|Comedy,excited
"Princess Diaries 2: Royal Engagement, The (2004)",Comedy|Romance,happy
Danny Deckchair (2003),Comedy|Romance,happy
AVP: Alien vs. Predator (2004),Action|Horror|Sci-Fi|Thriller,energetic
We Don't Live Here Anymore (2004),Drama,sad
Without a Paddle (2004),Comedy,happy
Exorcist: The Beginning (2004),Horror|Thriller,dark
"Bill Cosby, Himself (1983)",Comedy|Documentary,happy
Anacondas: The Hunt for the Blood Orchid (2004),Adventure|Drama|Horror|Sci-Fi|Thriller,excited
Suspect Zero (2004),Crime|Thriller,tense
Warriors of Heaven and Earth (Tian di ying xiong) (2003),Action|Adventure|Drama,energetic
Vanity Fair (2004),Drama|Romance,sad
Paparazzi (2004),Drama|Thriller,sad
Wicker Park (2004),Drama|Romance|Thriller,sad
Alice Doesn't Live Here Anymore (1974),Drama|Romance,sad
Who's That Knocking at My Door? (1967),Drama,sad
Camera Buff (Amator) (1979),Drama,sad
"Vitelloni, I (a.k.a. The Young and the Passionate) (1953)",Drama,sad
Cellular (2004),Action|Crime|Drama|Mystery|Thriller,energetic
Resident Evil: Apocalypse (2004),Action|Horror|Sci-Fi|Thriller,energetic
Mr. 3000 (2004),Comedy|Drama,happy
Sky Captain and the World of Tomorrow (2004),Action|Adventure|Sci-Fi,energetic
Wimbledon (2004),Comedy|Romance,happy
First Daughter (2004),Comedy|Romance,happy
"Forgotten, The (2004)",Drama|Mystery|Sci-Fi|Thriller,sad
"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama,excited
Shaun of the Dead (2004),Comedy|Horror,happy
"Come Back, Little Sheba (1952)",Drama,sad
Murder on the Orient Express (1974),Crime|Mystery|Thriller,tense
Mask (1985),Drama,sad
Orca: The Killer Whale (1977),Action|Drama|Horror|Thriller,energetic
1492: Conquest of Paradise (1992),Adventure|Drama,excited
Cannibal Holocaust (1980),Horror,dark
Shark Tale (2004),Animation|Children|Comedy,happy
Ladder 49 (2004),Action|Drama|Thriller,energetic
I Heart Huckabees (2004),Comedy,happy
Raise Your Voice (2004),Romance,romantic
Taxi (2004),Action|Comedy,energetic
Primer (2004),Drama|Sci-Fi,sad
Stage Beauty (2004),Drama,sad
Shall We Dance? (2004),Comedy|Romance,happy
Team America: World Police (2004),Action|Adventure|Animation|Comedy,energetic
Eulogy (2004),Comedy|Crime|Drama,happy
P.S. (2004),Comedy|Drama|Fantasy|Romance,happy
"Country Girl, The (1954)",Drama,sad
"Rose Tattoo, The (1955)",Drama|Romance,sad
"Fearless Vampire Killers, The (1967)",Comedy|Horror,happy
"Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)",Comedy|Drama,happy
Bebe's Kids (1992),Animation|Children|Comedy,happy
Friday Night Lights (2004),Action|Drama,energetic
Tarnation (2003),Documentary,calm
"Final Cut, The (2004)",Sci-Fi|Thriller,tense
Being Julia (2004),Comedy|Drama,happy
Surviving Christmas (2004),Comedy,happy
"Grudge, The (2004)",Horror|Mystery|Thriller,dark
Alfie (2004),Comedy|Drama|Romance,happy
Sideways (2004),Comedy|Drama|Romance,happy
The Machinist (2004),Drama|Mystery|Thriller,sad
Vera Drake (2004),Drama,sad
Falling Angels (2003),Drama,sad
Lightning in a Bottle (2004),Documentary,calm
Undertow (2004),Crime|Drama|Thriller,sad
Saw (2004),Horror|Mystery|Thriller,dark
Ray (2004),Drama,sad
Birth (2004),Drama|Mystery,sad
"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,energetic
Callas Forever (2002),Drama,sad
"Polar Express, The (2004)",Adventure|Animation|Children|Fantasy|IMAX,excited
Kinsey (2004),Drama,sad
Seed of Chucky (Child's Play 5) (2004),Comedy|Horror,happy
After the Sunset (2004),Action|Adventure|Comedy|Crime|Thriller,energetic
Bridget Jones: The Edge of Reason (2004),Comedy|Drama|Romance,happy
Finding Neverland (2004),Drama,sad
National Treasure (2004),Action|Adventure|Drama|Mystery|Thriller,energetic
Bad Education (La mala educación) (2004),Drama|Thriller,sad
"SpongeBob SquarePants Movie, The (2004)",Adventure|Animation|Children|Comedy,excited
Alexander (2004),Action|Adventure|Drama|War,energetic
Christmas with the Kranks (2004),Children|Comedy,happy
Guerrilla: The Taking of Patty Hearst (2004),Documentary,calm
Closer (2004),Drama|Romance,sad
I Am David (2003),Drama,sad
House of Flying Daggers (Shi mian mai fu) (2004),Action|Drama|Romance,energetic
Ocean's Twelve (2004),Action|Comedy|Crime|Thriller,energetic
Blade: Trinity (2004),Action|Fantasy|Horror|Thriller,energetic
Bush's Brain (2004),Documentary,calm
Damn Yankees! (1958),Comedy|Musical,happy
That's Entertainment (1974),Documentary,calm
D.A.R.Y.L. (1985),Adventure|Children|Sci-Fi,excited
Fire in the Sky (1993),Drama|Mystery|Sci-Fi,sad
"Invisible Man Returns, The (1940)",Horror|Sci-Fi,dark
Love Me If You Dare (Jeux d'enfants) (2003),Drama|Romance,sad
Control Room (2004),Documentary|War,calm
"Hunchback of Notre Dame, The (1923)",Drama|Horror,sad
Sherlock Jr. (1924),Comedy|Fantasy|Romance,happy
"Freshman, The (1925)",Comedy,happy
Greed (1924),Drama,sad
"Jazz Singer, The (1927)",Drama|Musical|Romance,sad
"Steamboat Bill, Jr. (1928)",Comedy|Romance,happy
"Andalusian Dog, An (Chien andalou, Un) (1929)",Fantasy,calm
Little Caesar (1931),Crime|Drama,sad
Boudu Saved From Drowning (Boudu sauvé des eaux) (1932),Comedy,happy
Scarface (1932),Crime|Drama,sad
Dinner at Eight (1933),Comedy|Drama|Romance,happy
Gold Diggers of 1933 (1933),Musical,calm
"Atalante, L' (1934)",Comedy|Drama|Romance,happy
Fury (1936),Drama|Film-Noir,sad
Libeled Lady (1936),Comedy|Romance,happy
Mr. Deeds Goes to Town (1936),Comedy|Romance,happy
Camille (1936),Drama|Romance,sad
Captains Courageous (1937),Adventure|Drama,excited
Stage Door (1937),Drama,sad
Holiday (1938),Comedy|Drama|Romance,happy
"Roaring Twenties, The (1939)",Crime|Drama|Thriller,sad
Wuthering Heights (1939),Drama|Romance,sad
"Letter, The (1940)",Drama|Film-Noir,sad
Here Comes Mr. Jordan (1941),Comedy|Fantasy|Romance,happy
Random Harvest (1942),Drama|Romance,sad
Tales of Manhattan (1942),Comedy|Drama,happy
Day of Wrath (Vredens dag) (1943),Drama,sad
"Miracle of Morgan's Creek, The (1944)",Comedy|Romance,happy
Mr. Skeffington (1944),Drama|Romance,sad
Great Expectations (1946),Drama,sad
"Stranger, The (1946)",Drama|Film-Noir|Thriller,sad
Easter Parade (1948),Musical|Romance,romantic
"Lady from Shanghai, The (1947)",Drama|Film-Noir|Mystery,sad
"Three Musketeers, The (1948)",Action|Adventure|Drama|Romance,energetic
Unfaithfully Yours (1948),Comedy,happy
"Letter to Three Wives, A (1949)",Comedy|Drama,happy
Annie Get Your Gun (1950),Comedy|Musical|Romance|Western,happy
King Solomon's Mines (1950),Action|Adventure|Romance,energetic
"Young and the Damned, The (Olvidados, Los) (1950)",Crime|Drama,sad
"Star Is Born, A (1954)",Drama|Musical,sad
The Wild One (1953),Drama,sad
Confidential Report (1955),Crime|Drama|Mystery|Thriller,sad
Night and Fog (Nuit et brouillard) (1955),Crime|Documentary|War,calm
Teacher's Pet (1958),Comedy|Romance,happy
"Human Condition II, The (Ningen no joken II) (1959)",Drama|War,sad
Pickpocket (1959),Crime|Drama,sad
When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki) (1960),Drama,sad
"Human Condition III, The (Ningen no joken III) (1961)",Drama|War,sad
Advise and Consent (1962),Drama,sad
Harakiri (Seppuku) (1962),Drama,sad
"Music Man, The (1962)",Children|Comedy|Musical|Romance,happy
Mutiny on the Bounty (1962),Adventure|Drama|Romance,excited
"Carabineers, The (Carabiniers, Les) (1963)",Comedy|Drama|War,happy
"Hush... Hush, Sweet Charlotte (1964)",Horror|Thriller,dark
Onibaba (1964),Drama|Horror|War,sad
Robinson Crusoe on Mars (1964),Sci-Fi,calm
"Battle of Algiers, The (La battaglia di Algeri) (1966)",Drama|War,sad
"Charlie Brown Christmas, A (1965)",Animation|Children|Comedy,happy
Major Dundee (1965),Adventure|War|Western,excited
"Thousand Clowns, A (1965)",Comedy|Drama|Romance,happy
Andrei Rublev (Andrey Rublyov) (1969),Drama|War,sad
Au Hasard Balthazar (1966),Crime|Drama,sad
Batman (1966),Action|Adventure|Comedy,energetic
Closely Watched Trains (Ostre sledované vlaky) (1966),Comedy|Drama|War,happy
Tokyo Drifter (Tôkyô nagaremono) (1966),Action|Crime|Drama,energetic
Branded to Kill (Koroshi no rakuin) (1967),Action|Crime|Drama,energetic
Play Time (a.k.a. Playtime) (1967),Comedy,happy
Point Blank (1967),Action|Crime|Drama|Thriller,energetic
Titicut Follies (1967),Documentary|Drama,sad
Asterix and Cleopatra (Astérix et Cléopâtre) (1968),Action|Adventure|Animation|Children|Comedy,energetic
"Diamond Arm, The (Brilliantovaya ruka) (1968)",Action|Adventure|Comedy|Crime|Thriller,energetic
Sympathy for the Devil (1968),Documentary|Musical,calm
"Yours, Mine and Ours (1968)",Children|Comedy,happy
"Claire's Knee (Genou de Claire, Le) (1970)",Comedy|Romance,happy
Performance (1970),Crime|Drama|Thriller,sad
"White Sun of the Desert, The (Beloe solntse pustyni) (1970)",Action|Adventure|Comedy|Drama|Romance|War,energetic
Zabriskie Point (1970),Drama|Romance,sad
Duel (1971),Action|Mystery|Thriller,energetic
They Call Me Trinity (1971),Comedy|Western,happy
"Topo, El (1970)",Fantasy|Western,calm
Dr. Phibes Rises Again (1972),Adventure|Comedy|Horror|Romance,excited
Charley Varrick (1973),Crime|Drama|Thriller,sad
Dark Star (1974),Comedy|Sci-Fi|Thriller,happy
Sisters (1973),Horror|Thriller,dark
Turkish Delight (Turks fruit) (1973),Drama|Romance,sad
California Split (1974),Comedy|Drama,happy
Emmanuelle (1974),Drama|Romance,sad
Gone in 60 Seconds (1974),Action|Crime|Drama,energetic
"Holy Mountain, The (Montaña sagrada, La) (1973)",Drama,sad
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)",Action|Adventure|Animation|Children|Comedy|Fantasy,energetic
French Connection II (1975),Action|Crime|Drama|Thriller,energetic
"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!) (1975)",Comedy|Drama|Romance,happy
"Passenger, The (Professione: reporter) (1975)",Drama,sad
Trilogy of Terror (1975),Horror|Thriller,dark
1900 (Novecento) (1976),Drama|War,sad
Futureworld (1976),Sci-Fi|Thriller,tense
Harlan County U.S.A. (1976),Documentary,calm
Silver Streak (1976),Action|Comedy|Crime,energetic
High Anxiety (1977),Comedy|Thriller,happy
"New York, New York (1977)",Drama|Musical|Romance,sad
"Turning Point, The (1977)",Drama|Romance,sad
Five Deadly Venoms (1978),Action,energetic
Last Hurrah for Chivalry (Hao xia) (1979),Action|Drama,energetic
"Clonus Horror, The (1979)",Horror|Sci-Fi,dark
Snake in the Eagle's Shadow (Se ying diu sau) (1978),Action|Comedy,energetic
Hair (1979),Comedy|Drama|Musical,happy
Love at First Bite (1979),Comedy|Horror|Romance,happy
"Hitch Hikers Guide to the Galaxy, The (1981)",Adventure|Comedy|Sci-Fi,excited
Smiley's People (1982),Drama|Mystery,sad
Blue Thunder (1983),Action|Crime|Drama,energetic
"Day After, The (1983)",Drama|Sci-Fi,sad
Eddie Murphy Delirious (1983),Comedy|Documentary,happy
"Norte, El (1984)",Adventure|Drama,excited
Twilight Zone: The Movie (1983),Fantasy|Horror|Sci-Fi|Thriller,dark
Boy Meets Girl (1984),Drama,sad
Cloak & Dagger (1984),Action|Adventure|Children|Crime|Mystery|Thriller,energetic
"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)",Adventure|Children|Fantasy|Sci-Fi,excited
"Silent Night, Deadly Night (1984)",Horror|Thriller,dark
"Times of Harvey Milk, The (1984)",Documentary,calm
What Have I Done to Deserve This? (¿Qué he hecho yo para merecer esto!!) (1984),Comedy|Drama,happy
Anne of Green Gables (1985),Children|Drama,sad
Death of a Salesman (1985),Drama,sad
Ewoks: The Battle for Endor (1985),Adventure|Children|Fantasy|Sci-Fi,excited
Police Story (Ging chaat goo si) (1985),Action|Comedy|Crime|Thriller,energetic
"Quiet Earth, The (1985)",Drama|Mystery|Sci-Fi,sad
Spies Like Us (1985),Comedy,happy
White Nights (1985),Drama,sad
'Round Midnight (1986),Drama|Musical,sad
Club Paradise (1986),Comedy,happy
"Sacrifice, The (Offret - Sacraficatio) (1986)",Drama,sad
"Better Tomorrow, A (Ying hung boon sik) (1986)",Crime|Drama|Thriller,sad
"Decalogue, The (Dekalog) (1989)",Crime|Drama|Romance,sad
G.I. Joe: The Movie (1987),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,energetic
Hell Comes to Frogtown (1988),Action|Comedy|Sci-Fi,energetic
"Law of Desire (Ley del deseo, La) (1987)",Comedy|Drama|Romance,happy
Prince of Darkness (1987),Fantasy|Horror|Sci-Fi|Thriller,dark
"Chinese Ghost Story, A (Sinnui yauwan) (1987)",Action|Fantasy|Horror|Romance,energetic
"Better Tomorrow II, A (Ying hung boon sik II) (1987)",Crime|Drama|Thriller,sad
"Bourne Identity, The (1988)",Action|Adventure|Drama|Mystery|Thriller,energetic
Dominick and Eugene (1988),Drama,sad
Killer Klowns from Outer Space (1988),Comedy|Horror|Sci-Fi,happy
Moonwalker (1988),Musical,calm
Alice (Neco z Alenky) (1988),Animation|Fantasy|Mystery,calm
Life Is a Long Quiet River (La vie est un long fleuve tranquille) (1988),Comedy,happy
Lonesome Dove (1989),Adventure|Drama|Western,excited
Kiki's Delivery Service (Majo no takkyûbin) (1989),Adventure|Animation|Children|Drama|Fantasy,excited
Almost an Angel (1990),Comedy,happy
Cry-Baby (1990),Comedy|Musical|Romance,happy
Bullet in the Head (1990),Action|Drama|War,energetic
Ghost Dad (1990),Comedy|Fantasy,happy
It (1990),Drama|Fantasy|Horror|Mystery|Thriller,sad
Ju Dou (1990),Drama,sad
"Krays, The (1990)",Drama,sad
Lionheart (1990),Action,energetic
Nuns on the Run (1990),Comedy|Crime,happy
Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie) (1989),Action|Animation|Crime|Drama|Film-Noir|Mystery|Sci-Fi|Thriller,energetic
State of Grace (1990),Crime|Drama|Thriller,sad
35 Up (1991),Documentary,calm
Days of Being Wild (A Fei jingjyuhn) (1990),Drama|Romance,sad
Begotten (1990),Drama|Horror,sad
Dutch (1991),Comedy,happy
Hearts of Darkness: A Filmmakers Apocalypse (1991),Documentary,calm
Johnny Stecchino (1991),Comedy,happy
Riki-Oh: The Story of Ricky (Lik Wong) (1991),Action|Crime|Thriller,energetic
Mannequin 2: On the Move (1991),Comedy|Fantasy|Romance,happy
Only Yesterday (Omohide poro poro) (1991),Animation|Drama,sad
Other People's Money (1991),Comedy|Drama|Romance,happy
Quigley Down Under (1990),Adventure|Drama|Western,excited
Prime Suspect 2 (1992),Crime|Drama|Mystery|Romance|Thriller,sad
Captain America (1990),Action|Fantasy|Sci-Fi|Thriller|War,energetic
City Hunter (Sing si lip yan) (1993),Action|Comedy|Romance,energetic
Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),Adventure|Animation|Comedy|Fantasy|Romance,excited
"Stolen Children (Ladro di bambini, Il) (1992)",Drama,sad
Ladybugs (1992),Comedy,happy
"Mambo Kings, The (1992)",Drama|Musical,sad
Shining Through (1992),Drama|Romance|Thriller|War,sad
Sidekicks (1992),Action|Adventure|Children|Comedy,energetic
"Heart in Winter, A (Un coeur en hiver) (1992)",Drama|Romance,sad
Visions of Light: The Art of Cinematography (1992),Documentary,calm
Bad Boy Bubby (1993),Drama,sad
Barbarians at the Gate (1993),Drama,sad
Fortress (1992),Action|Sci-Fi,energetic
Mr. Nanny (1993),Action|Children|Comedy,energetic
"Snapper, The (1993)",Comedy|Drama,happy
Sonatine (Sonachine) (1993),Action|Comedy|Crime|Drama,energetic
"Stand, The (1994)",Adventure|Drama|Fantasy|Horror|Sci-Fi,excited
"Darkman II: Return of Durant, The (1995)",Action|Crime|Horror,energetic
Freaked (1993),Comedy|Sci-Fi,happy
Fist of Legend (Jing wu ying xiong) (1994),Action|Drama,energetic
Major League II (1994),Comedy,happy
My Father the Hero (1994),Comedy|Romance,happy
"Pure Formality, A (Pura formalità, Una) (1994)",Crime|Film-Noir|Mystery|Thriller,tense
"Langoliers, The (1995)",Drama|Fantasy|Horror|Mystery|Sci-Fi|Thriller,sad
"Last Wedding, The (Kivenpyörittäjän kylä) (1995)",Comedy|Drama,happy
Last of the Dogmen (1995),Adventure|Western,excited
Whisper of the Heart (Mimi wo sumaseba) (1995),Animation|Drama|Romance,sad
Street Fighter II: The Animated Movie (Sutorîto Faitâ II gekijô-ban) (1994),Action|Animation,energetic
"Summer's Tale, A (Conte d'été) (1996)",Comedy|Drama|Romance,happy
"Late Shift, The (1996)",Comedy,happy
Pusher (1996),Crime|Thriller,tense
Emma (1996),Romance,romantic
"Boxer, The (1997)",Drama|Thriller,sad
Gummo (1997),Drama,sad
Nirvana (1997),Action|Sci-Fi,energetic
"Lion King II: Simba's Pride, The (1998)",Adventure|Animation|Children|Musical|Romance,excited
From the Earth to the Moon (1998),Action|Documentary|Drama|Thriller,energetic
Beowulf (1999),Action|Horror|Sci-Fi,energetic
RKO 281 (1999),Drama,sad
From Dusk Till Dawn 2: Texas Blood Money (1999) ,Comedy|Crime|Horror,happy
Gia (1998),Drama|Romance,sad
Thursday (1998),Action|Crime|Thriller,energetic
Who Am I? (Wo shi shei) (1998),Action|Adventure|Comedy|Sci-Fi|Thriller,energetic
Merlin (1998),Action|Adventure|Drama|Fantasy|Romance,energetic
Brave New World (1998),Sci-Fi,calm
Addams Family Reunion (1998),Children|Comedy|Fantasy,happy
Purgatory (1999),Fantasy|Western,calm
Bleeder (1999),Drama|Thriller,sad
Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001),Action|Crime|Fantasy,energetic
Candyman 3: Day of the Dead (1999),Horror,dark
"Batman/Superman Movie, The (1998)",Action|Adventure|Animation|Children|Fantasy|Sci-Fi,energetic
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Action|Animation|Drama|Fantasy|Sci-Fi,energetic
Style Wars (1983),Documentary,calm
In July (Im Juli) (2000),Comedy|Romance,happy
Kirikou and the Sorceress (Kirikou et la sorcière) (1998),Adventure|Animation|Children|Fantasy,excited
Taxi 2 (2000),Action|Comedy,energetic
If These Walls Could Talk 2 (2000),Drama|Romance,sad
"10th Kingdom, The (2000)",Adventure|Comedy|Fantasy,excited
"Wind Will Carry Us, The (Bad ma ra khahad bord) (1999)",Drama,sad
2046 (2004),Drama|Fantasy|Romance|Sci-Fi,sad
Bartleby (2001),Comedy|Drama,happy
Batman Beyond: Return of the Joker (2000),Action|Animation|Crime|Sci-Fi|Thriller,energetic
Audition (Ôdishon) (1999),Drama|Horror|Mystery|Romance|Thriller,sad
"Nine Lives of Tomas Katz, The (2000)",Comedy|Drama|Fantasy,happy
Monday (2000),Action|Comedy|Crime|Fantasy|Thriller,energetic
Paradise Lost 2: Revelations (2000),Documentary,calm
Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),Adventure|Comedy|Fantasy,excited
Daria: Is It Fall Yet? (2000),Animation|Comedy,happy
Late Night Shopping (2001),Comedy,happy
61* (2001),Drama,sad
Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),Crime|Drama|Mystery|Thriller|War,sad
Ripley's Game (2002),Drama|Thriller,sad
Jalla! Jalla! (2000),Comedy|Drama|Romance,happy
Teknolust (2002),Comedy|Drama|Romance|Sci-Fi,happy
"Accidental Spy, The (Dak miu mai shing) (2001)",Action|Comedy|Thriller,energetic
Darkness (2002),Horror|Mystery,dark
Blood: The Last Vampire (2000),Action|Animation|Horror,energetic
Blueberry (2004),Adventure|Western,excited
American Psycho II: All American Girl (2002),Comedy|Crime|Horror|Mystery|Thriller,happy
Ali G Indahouse (2002),Comedy,happy
Dead or Alive 2: Tôbôsha (2000),Action|Crime|Thriller,energetic
Cube 2: Hypercube (2002),Horror|Mystery|Sci-Fi,dark
Pulse (Kairo) (2001),Horror|Mystery|Thriller,dark
Dog Days (Hundstage) (2001),Drama,sad
My Sassy Girl (Yeopgijeogin geunyeo) (2001),Comedy|Romance,happy
Nothing (2003),Comedy|Fantasy|Mystery|Sci-Fi,happy
Undertaking Betty (Plots with a View) (2002),Comedy|Romance,happy
Dead or Alive: Final (2002),Comedy|Crime|Drama|Sci-Fi|Thriller,happy
Fubar (2002),Comedy,happy
"Happiness of the Katakuris, The (Katakuri-ke no kôfuku) (2001)",Comedy|Horror|Musical,happy
Dead End (2003),Comedy|Horror|Mystery|Thriller,happy
Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),Crime|Drama,sad
Jesus Christ Vampire Hunter (2001),Action|Comedy|Horror|Musical,energetic
Suicide Club (Jisatsu saakuru) (2001),Horror|Mystery|Thriller,dark
Battlestar Galactica (2003),Drama|Sci-Fi|War,sad
"Sound of Thunder, A (2005)",Action|Adventure|Drama|Sci-Fi|Thriller,energetic
"Lion King 1½, The (2004)",Adventure|Animation|Children|Comedy,excited
Oasis (2002),Drama|Romance,sad
Remember Me (Ricordati di me) (2003),Comedy|Drama|Romance,happy
"Animatrix, The (2003)",Action|Animation|Drama|Sci-Fi,energetic
"Brown Bunny, The (2003)",Drama,sad
Ju-on: The Curse (2000),Horror,dark
11:14 (2003),Comedy|Crime|Drama|Mystery|Thriller,happy
Tremors 4: The Legend Begins (2004),Action|Comedy|Horror|Sci-Fi|Thriller|Western,energetic
Bring It On Again (2004),Comedy,happy
"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004)",Action|Crime|Thriller,energetic
And Starring Pancho Villa as Himself (2003),Action|Comedy|Drama|War,energetic
Nicotina (2003),Action|Comedy|Drama,energetic
Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),Action|Drama|Thriller|War,energetic
In Hell (2003),Action|Drama|Thriller,energetic
Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy,excited
Helen of Troy (2003),Action|Adventure|Drama|Romance,energetic
"Green Butchers, The (Grønne slagtere, De) (2003)",Comedy|Crime|Drama|Romance,happy
"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",Drama|Mystery|Romance|War,sad
Last Life in the Universe (Ruang rak noi nid mahasan) (2003),Drama|Romance,sad
Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),Action|Animation|Drama|Sci-Fi|Thriller,energetic
"Cat Returns, The (Neko no ongaeshi) (2002)",Adventure|Animation|Children|Fantasy,excited
"Twilight Samurai, The (Tasogare Seibei) (2002)",Drama|Romance,sad
"Facing Windows (Finestra di fronte, La) (2003)",Drama|Romance,sad
Ginger Snaps: Unleashed (2004),Horror|Thriller,dark
'Salem's Lot (2004),Drama|Horror|Mystery|Thriller,sad
Comic Book: The Movie (2004),Comedy,happy
Intimate Strangers (Confidences trop intimes) (2004),Drama,sad
Down to the Bone (2004),Drama,sad
Ju-on: The Grudge (2002),Horror,dark
Old Boy (2003),Mystery|Thriller,tense
Red Lights (Feux rouges) (2004),Drama,sad
Ginger Snaps Back: The Beginning (2004),Fantasy|Horror,dark
One Missed Call (Chakushin ari) (2003),Horror|Mystery,dark
"Jacket, The (2005)",Drama|Mystery|Sci-Fi|Thriller,sad
Millions (2004),Children|Comedy|Crime|Drama|Fantasy,happy
Starship Troopers 2: Hero of the Federation (2004),Action|Horror|Sci-Fi|War,energetic
Ong-Bak: The Thai Warrior (Ong Bak) (2003),Action|Thriller,energetic
Infernal Affairs 2 (Mou gaan dou II) (2003),Action|Crime|Drama|Thriller,energetic
"Sea Inside, The (Mar adentro) (2004)",Drama,sad
Spanglish (2004),Comedy|Drama|Romance,happy
"Chorus, The (Choristes, Les) (2004)",Drama,sad
Saints and Soldiers (2003),Action|Adventure|Drama|War,energetic
"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die) (2003)",Documentary|Drama,sad
"Interpreter, The (2005)",Drama|Thriller,sad
Open Water (2003),Drama|Thriller,sad
Touch of Pink (2004),Comedy|Drama|Romance,happy
Slasher (2004),Documentary,calm
"Bobby Jones, Stroke of Genius (2004)",Drama,sad
